Candidate_ID,Pred_pChEMBL_Mean,Epistemic_Uncertainty_Std,Confidence_Group
WT_Cand_1456,4.825,0.056,High-Confidence (Std <= 0.20)
WT_Cand_1457,7.716,0.09,High-Confidence (Std <= 0.20)
WT_Cand_1458,7.288,0.137,High-Confidence (Std <= 0.20)
WT_Cand_1459,8.333,0.25,Low-Confidence (Filtered Out)
WT_Cand_1460,7.624,0.171,High-Confidence (Std <= 0.20)
WT_Cand_1461,6.691,0.253,Low-Confidence (Filtered Out)
WT_Cand_1462,5.442,0.075,High-Confidence (Std <= 0.20)
WT_Cand_1463,6.61,0.131,High-Confidence (Std <= 0.20)
WT_Cand_1464,5.872,0.098,High-Confidence (Std <= 0.20)
WT_Cand_1465,6.182,0.032,High-Confidence (Std <= 0.20)
WT_Cand_1466,7.527,0.008,High-Confidence (Std <= 0.20)
WT_Cand_1467,8.77,0.07,High-Confidence (Std <= 0.20)
WT_Cand_1468,7.304,0.223,Low-Confidence (Filtered Out)
WT_Cand_1469,5.475,0.165,High-Confidence (Std <= 0.20)
WT_Cand_1470,7.361,0.143,High-Confidence (Std <= 0.20)
WT_Cand_1471,8.226,0.356,Low-Confidence (Filtered Out)
WT_Cand_1472,6.149,0.059,High-Confidence (Std <= 0.20)
WT_Cand_1473,6.696,0.179,High-Confidence (Std <= 0.20)
WT_Cand_1474,6.867,0.096,High-Confidence (Std <= 0.20)
WT_Cand_1475,5.947,0.186,High-Confidence (Std <= 0.20)
WT_Cand_1476,7.596,0.281,Low-Confidence (Filtered Out)
WT_Cand_1477,6.711,0.033,High-Confidence (Std <= 0.20)
WT_Cand_1478,7.332,0.233,Low-Confidence (Filtered Out)
WT_Cand_1479,5.829,0.17,High-Confidence (Std <= 0.20)
WT_Cand_1480,6.347,0.083,High-Confidence (Std <= 0.20)
WT_Cand_1481,7.681,0.007,High-Confidence (Std <= 0.20)
WT_Cand_1482,6.421,0.142,High-Confidence (Std <= 0.20)
WT_Cand_1483,8.836,0.721,Low-Confidence (Filtered Out)
WT_Cand_1484,6.39,0.021,High-Confidence (Std <= 0.20)
WT_Cand_1485,7.108,0.03,High-Confidence (Std <= 0.20)
WT_Cand_1486,7.922,0.172,High-Confidence (Std <= 0.20)
WT_Cand_1487,5.219,0.03,High-Confidence (Std <= 0.20)
WT_Cand_1488,4.825,0.252,Low-Confidence (Filtered Out)
WT_Cand_1489,5.095,0.161,High-Confidence (Std <= 0.20)
WT_Cand_1490,8.302,0.045,High-Confidence (Std <= 0.20)
WT_Cand_1491,6.215,0.06,High-Confidence (Std <= 0.20)
WT_Cand_1492,9.792,0.023,High-Confidence (Std <= 0.20)
WT_Cand_1493,6.201,0.303,Low-Confidence (Filtered Out)
WT_Cand_1494,7.062,0.308,Low-Confidence (Filtered Out)
WT_Cand_1495,8.623,0.349,Low-Confidence (Filtered Out)
WT_Cand_1496,9.157,0.076,High-Confidence (Std <= 0.20)
WT_Cand_1497,9.221,0.054,High-Confidence (Std <= 0.20)
WT_Cand_1498,8.24,0.146,High-Confidence (Std <= 0.20)
WT_Cand_1499,8.028,0.274,Low-Confidence (Filtered Out)
WT_Cand_1500,7.531,0.052,High-Confidence (Std <= 0.20)
WT_Cand_1501,7.745,0.044,High-Confidence (Std <= 0.20)
WT_Cand_1502,6.216,0.246,Low-Confidence (Filtered Out)
WT_Cand_1503,5.909,0.032,High-Confidence (Std <= 0.20)
WT_Cand_1504,6.846,0.172,High-Confidence (Std <= 0.20)
WT_Cand_1505,6.654,0.106,High-Confidence (Std <= 0.20)
WT_Cand_1506,6.329,0.072,High-Confidence (Std <= 0.20)
WT_Cand_1507,7.651,0.119,High-Confidence (Std <= 0.20)
WT_Cand_1508,7.949,0.114,High-Confidence (Std <= 0.20)
WT_Cand_1509,6.952,0.188,High-Confidence (Std <= 0.20)
WT_Cand_1510,8.549,0.198,High-Confidence (Std <= 0.20)
WT_Cand_1511,5.537,0.378,Low-Confidence (Filtered Out)
WT_Cand_1512,6.627,0.163,High-Confidence (Std <= 0.20)
WT_Cand_1513,6.026,0.239,Low-Confidence (Filtered Out)
WT_Cand_1514,4.703,0.226,Low-Confidence (Filtered Out)
WT_Cand_1515,6.755,0.356,Low-Confidence (Filtered Out)
WT_Cand_1516,6.71,0.31,Low-Confidence (Filtered Out)
WT_Cand_1517,8.59,0.295,Low-Confidence (Filtered Out)
WT_Cand_1518,7.575,0.038,High-Confidence (Std <= 0.20)
WT_Cand_1519,5.672,0.211,Low-Confidence (Filtered Out)
WT_Cand_1520,8.982,0.008,High-Confidence (Std <= 0.20)
WT_Cand_1521,8.254,0.284,Low-Confidence (Filtered Out)
WT_Cand_1522,7.519,0.096,High-Confidence (Std <= 0.20)
WT_Cand_1523,6.59,0.135,High-Confidence (Std <= 0.20)
WT_Cand_1524,5.747,0.176,High-Confidence (Std <= 0.20)
WT_Cand_1525,6.422,0.262,Low-Confidence (Filtered Out)
WT_Cand_1526,8.102,0.385,Low-Confidence (Filtered Out)
WT_Cand_1527,9.017,0.387,Low-Confidence (Filtered Out)
WT_Cand_1528,8.625,0.023,High-Confidence (Std <= 0.20)
WT_Cand_1529,6.288,0.142,High-Confidence (Std <= 0.20)
WT_Cand_1530,5.562,0.032,High-Confidence (Std <= 0.20)
WT_Cand_1531,7.012,0.06,High-Confidence (Std <= 0.20)
WT_Cand_1532,4.816,0.397,Low-Confidence (Filtered Out)
WT_Cand_1533,7.222,0.488,Low-Confidence (Filtered Out)
WT_Cand_1534,6.68,0.21,Low-Confidence (Filtered Out)
WT_Cand_1535,6.314,0.169,High-Confidence (Std <= 0.20)
WT_Cand_1536,5.016,0.213,Low-Confidence (Filtered Out)
WT_Cand_1537,7.441,0.371,Low-Confidence (Filtered Out)
WT_Cand_1538,6.237,0.21,Low-Confidence (Filtered Out)
WT_Cand_1539,5.505,0.037,High-Confidence (Std <= 0.20)
WT_Cand_1540,3.547,0.125,High-Confidence (Std <= 0.20)
WT_Cand_1541,6.818,0.11,High-Confidence (Std <= 0.20)
WT_Cand_1542,8.888,0.048,High-Confidence (Std <= 0.20)
WT_Cand_1543,8.76,0.264,Low-Confidence (Filtered Out)
WT_Cand_1544,6.324,0.368,Low-Confidence (Filtered Out)
WT_Cand_1545,6.157,0.081,High-Confidence (Std <= 0.20)
WT_Cand_1546,7.389,0.026,High-Confidence (Std <= 0.20)
WT_Cand_1547,5.702,0.077,High-Confidence (Std <= 0.20)
WT_Cand_1548,7.197,0.15,High-Confidence (Std <= 0.20)
WT_Cand_1549,7.731,0.152,High-Confidence (Std <= 0.20)
WT_Cand_1550,8.261,0.204,Low-Confidence (Filtered Out)
WT_Cand_1551,6.735,0.24,Low-Confidence (Filtered Out)
WT_Cand_1552,6.616,0.378,Low-Confidence (Filtered Out)
WT_Cand_1553,5.84,0.287,Low-Confidence (Filtered Out)
WT_Cand_1554,5.899,0.139,High-Confidence (Std <= 0.20)
WT_Cand_1555,6.59,0.035,High-Confidence (Std <= 0.20)
WT_Cand_1556,7.272,0.212,Low-Confidence (Filtered Out)
WT_Cand_1557,7.901,0.237,Low-Confidence (Filtered Out)
WT_Cand_1558,5.926,0.288,Low-Confidence (Filtered Out)
WT_Cand_1559,8.567,0.053,High-Confidence (Std <= 0.20)
WT_Cand_1560,6.538,0.36,Low-Confidence (Filtered Out)
WT_Cand_1561,6.825,0.191,High-Confidence (Std <= 0.20)
WT_Cand_1562,5.991,0.039,High-Confidence (Std <= 0.20)
WT_Cand_1563,4.062,0.02,High-Confidence (Std <= 0.20)
WT_Cand_1564,7.867,0.139,High-Confidence (Std <= 0.20)
WT_Cand_1565,7.697,0.162,High-Confidence (Std <= 0.20)
WT_Cand_1566,6.526,0.06,High-Confidence (Std <= 0.20)
WT_Cand_1567,6.927,0.151,High-Confidence (Std <= 0.20)
WT_Cand_1568,7.443,0.178,High-Confidence (Std <= 0.20)
WT_Cand_1569,5.053,0.327,Low-Confidence (Filtered Out)
WT_Cand_1570,6.242,0.141,High-Confidence (Std <= 0.20)
WT_Cand_1571,7.763,0.213,Low-Confidence (Filtered Out)
WT_Cand_1572,5.408,0.363,Low-Confidence (Filtered Out)
WT_Cand_1573,7.188,0.133,High-Confidence (Std <= 0.20)
WT_Cand_1574,5.29,0.075,High-Confidence (Std <= 0.20)
WT_Cand_1575,7.386,0.226,Low-Confidence (Filtered Out)
WT_Cand_1576,6.809,0.276,Low-Confidence (Filtered Out)
WT_Cand_1577,4.993,0.359,Low-Confidence (Filtered Out)
WT_Cand_1578,8.189,0.096,High-Confidence (Std <= 0.20)
WT_Cand_1579,6.005,0.104,High-Confidence (Std <= 0.20)
WT_Cand_1580,5.918,0.249,Low-Confidence (Filtered Out)
WT_Cand_1581,7.081,0.208,Low-Confidence (Filtered Out)
WT_Cand_1582,8.171,0.251,Low-Confidence (Filtered Out)
WT_Cand_1583,5.682,0.207,Low-Confidence (Filtered Out)
WT_Cand_1584,6.921,0.125,High-Confidence (Std <= 0.20)
WT_Cand_1585,7.343,0.128,High-Confidence (Std <= 0.20)
WT_Cand_1586,7.647,0.135,High-Confidence (Std <= 0.20)
WT_Cand_1587,7.053,0.306,Low-Confidence (Filtered Out)
WT_Cand_1588,6.428,0.321,Low-Confidence (Filtered Out)
WT_Cand_1589,5.898,0.016,High-Confidence (Std <= 0.20)
WT_Cand_1590,6.949,0.238,Low-Confidence (Filtered Out)
WT_Cand_1591,5.617,0.332,Low-Confidence (Filtered Out)
WT_Cand_1592,3.49,0.158,High-Confidence (Std <= 0.20)
WT_Cand_1593,7.352,0.174,High-Confidence (Std <= 0.20)
WT_Cand_1594,7.89,0.096,High-Confidence (Std <= 0.20)
WT_Cand_1595,4.133,0.182,High-Confidence (Std <= 0.20)
WT_Cand_1596,5.689,0.398,Low-Confidence (Filtered Out)
WT_Cand_1597,7.562,0.207,Low-Confidence (Filtered Out)
WT_Cand_1598,9.216,0.414,Low-Confidence (Filtered Out)
WT_Cand_1599,6.874,0.059,High-Confidence (Std <= 0.20)
WT_Cand_1600,6.013,0.302,Low-Confidence (Filtered Out)
WT_Cand_1601,6.64,0.257,Low-Confidence (Filtered Out)
WT_Cand_1602,8.431,0.149,High-Confidence (Std <= 0.20)
WT_Cand_1603,6.107,0.011,High-Confidence (Std <= 0.20)
WT_Cand_1604,5.931,0.142,High-Confidence (Std <= 0.20)
WT_Cand_1605,6.295,0.07,High-Confidence (Std <= 0.20)
WT_Cand_1606,5.754,0.076,High-Confidence (Std <= 0.20)
WT_Cand_1607,6.991,0.219,Low-Confidence (Filtered Out)
WT_Cand_1608,8.718,0.171,High-Confidence (Std <= 0.20)
WT_Cand_1609,7.222,0.138,High-Confidence (Std <= 0.20)
WT_Cand_1610,6.56,0.042,High-Confidence (Std <= 0.20)
WT_Cand_1611,6.514,0.007,High-Confidence (Std <= 0.20)
WT_Cand_1612,5.052,0.053,High-Confidence (Std <= 0.20)
WT_Cand_1613,7.866,0.11,High-Confidence (Std <= 0.20)
WT_Cand_1614,6.76,0.075,High-Confidence (Std <= 0.20)
WT_Cand_1615,6.642,0.104,High-Confidence (Std <= 0.20)
WT_Cand_1616,10.522,0.435,Low-Confidence (Filtered Out)
WT_Cand_1617,7.194,0.145,High-Confidence (Std <= 0.20)
WT_Cand_1618,5.985,0.319,Low-Confidence (Filtered Out)
WT_Cand_1619,6.36,0.067,High-Confidence (Std <= 0.20)
WT_Cand_1620,8.171,0.064,High-Confidence (Std <= 0.20)
WT_Cand_1621,6.98,0.026,High-Confidence (Std <= 0.20)
WT_Cand_1622,5.196,0.153,High-Confidence (Std <= 0.20)
WT_Cand_1623,7.907,0.047,High-Confidence (Std <= 0.20)
WT_Cand_1624,6.082,0.608,Low-Confidence (Filtered Out)
WT_Cand_1625,9.004,0.117,High-Confidence (Std <= 0.20)
WT_Cand_1626,8.092,0.126,High-Confidence (Std <= 0.20)
WT_Cand_1627,6.336,0.108,High-Confidence (Std <= 0.20)
WT_Cand_1628,8.323,0.07,High-Confidence (Std <= 0.20)
WT_Cand_1629,6.928,0.325,Low-Confidence (Filtered Out)
WT_Cand_1630,7.831,0.187,High-Confidence (Std <= 0.20)
WT_Cand_1631,7.407,0.019,High-Confidence (Std <= 0.20)
WT_Cand_1632,5.877,0.018,High-Confidence (Std <= 0.20)
WT_Cand_1633,6.11,0.031,High-Confidence (Std <= 0.20)
WT_Cand_1634,8.034,0.039,High-Confidence (Std <= 0.20)
WT_Cand_1635,6.465,0.096,High-Confidence (Std <= 0.20)
WT_Cand_1636,6.386,0.285,Low-Confidence (Filtered Out)
WT_Cand_1637,5.752,0.146,High-Confidence (Std <= 0.20)
WT_Cand_1638,7.337,0.029,High-Confidence (Std <= 0.20)
WT_Cand_1639,9.222,0.055,High-Confidence (Std <= 0.20)
WT_Cand_1640,5.622,0.016,High-Confidence (Std <= 0.20)
WT_Cand_1641,6.878,0.121,High-Confidence (Std <= 0.20)
WT_Cand_1642,8.474,0.273,Low-Confidence (Filtered Out)
WT_Cand_1643,6.758,0.587,Low-Confidence (Filtered Out)
WT_Cand_1644,7.37,0.047,High-Confidence (Std <= 0.20)
WT_Cand_1645,5.628,0.197,High-Confidence (Std <= 0.20)
WT_Cand_1646,7.343,0.498,Low-Confidence (Filtered Out)
WT_Cand_1647,6.635,0.281,Low-Confidence (Filtered Out)
WT_Cand_1648,7.984,0.257,Low-Confidence (Filtered Out)
WT_Cand_1649,8.215,0.183,High-Confidence (Std <= 0.20)
WT_Cand_1650,9.828,0.394,Low-Confidence (Filtered Out)
WT_Cand_1651,7.517,0.062,High-Confidence (Std <= 0.20)
WT_Cand_1652,7.225,0.202,Low-Confidence (Filtered Out)
WT_Cand_1653,7.074,0.115,High-Confidence (Std <= 0.20)
WT_Cand_1654,6.444,0.073,High-Confidence (Std <= 0.20)
WT_Cand_1655,7.239,0.038,High-Confidence (Std <= 0.20)
WT_Cand_1656,6.51,0.583,Low-Confidence (Filtered Out)
WT_Cand_1657,7.044,0.051,High-Confidence (Std <= 0.20)
WT_Cand_1658,8.365,0.163,High-Confidence (Std <= 0.20)
WT_Cand_1659,5.692,0.207,Low-Confidence (Filtered Out)
WT_Cand_1660,8.161,0.033,High-Confidence (Std <= 0.20)
WT_Cand_1661,8.365,0.225,Low-Confidence (Filtered Out)
WT_Cand_1662,6.714,0.426,Low-Confidence (Filtered Out)
WT_Cand_1663,4.41,0.259,Low-Confidence (Filtered Out)
WT_Cand_1664,6.151,0.128,High-Confidence (Std <= 0.20)
WT_Cand_1665,8.342,0.152,High-Confidence (Std <= 0.20)
WT_Cand_1666,6.824,0.12,High-Confidence (Std <= 0.20)
WT_Cand_1667,5.701,0.08,High-Confidence (Std <= 0.20)
WT_Cand_1668,6.27,0.045,High-Confidence (Std <= 0.20)
WT_Cand_1669,7.817,0.093,High-Confidence (Std <= 0.20)
WT_Cand_1670,7.479,0.17,High-Confidence (Std <= 0.20)
WT_Cand_1671,6.575,0.441,Low-Confidence (Filtered Out)
WT_Cand_1672,6.428,0.11,High-Confidence (Std <= 0.20)
WT_Cand_1673,6.399,0.114,High-Confidence (Std <= 0.20)
WT_Cand_1674,5.789,0.076,High-Confidence (Std <= 0.20)
WT_Cand_1675,8.708,0.484,Low-Confidence (Filtered Out)
WT_Cand_1676,6.479,0.132,High-Confidence (Std <= 0.20)
WT_Cand_1677,8.25,0.259,Low-Confidence (Filtered Out)
WT_Cand_1678,8.6,0.219,Low-Confidence (Filtered Out)
WT_Cand_1679,7.998,0.275,Low-Confidence (Filtered Out)
WT_Cand_1680,6.354,0.276,Low-Confidence (Filtered Out)
WT_Cand_1681,7.314,0.115,High-Confidence (Std <= 0.20)
WT_Cand_1682,6.822,0.085,High-Confidence (Std <= 0.20)
WT_Cand_1683,5.811,0.483,Low-Confidence (Filtered Out)
WT_Cand_1684,7.223,0.084,High-Confidence (Std <= 0.20)
WT_Cand_1685,5.494,0.149,High-Confidence (Std <= 0.20)
WT_Cand_1686,8.216,0.268,Low-Confidence (Filtered Out)
WT_Cand_1687,6.316,0.107,High-Confidence (Std <= 0.20)
WT_Cand_1688,7.081,0.077,High-Confidence (Std <= 0.20)
WT_Cand_1689,7.176,0.157,High-Confidence (Std <= 0.20)
WT_Cand_1690,6.552,0.4,Low-Confidence (Filtered Out)
WT_Cand_1691,7.525,0.066,High-Confidence (Std <= 0.20)
WT_Cand_1692,6.304,0.296,Low-Confidence (Filtered Out)
WT_Cand_1693,7.852,0.071,High-Confidence (Std <= 0.20)
WT_Cand_1694,5.302,0.012,High-Confidence (Std <= 0.20)
WT_Cand_1695,6.995,0.169,High-Confidence (Std <= 0.20)
WT_Cand_1696,9.08,0.055,High-Confidence (Std <= 0.20)
WT_Cand_1697,5.7,0.077,High-Confidence (Std <= 0.20)
WT_Cand_1698,6.071,0.047,High-Confidence (Std <= 0.20)
WT_Cand_1699,7.441,0.526,Low-Confidence (Filtered Out)
WT_Cand_1700,7.057,0.17,High-Confidence (Std <= 0.20)
WT_Cand_1701,7.253,0.109,High-Confidence (Std <= 0.20)
WT_Cand_1702,7.413,0.045,High-Confidence (Std <= 0.20)
WT_Cand_1703,7.58,0.15,High-Confidence (Std <= 0.20)
WT_Cand_1704,8.126,0.308,Low-Confidence (Filtered Out)
WT_Cand_1705,7.321,0.182,High-Confidence (Std <= 0.20)
WT_Cand_1706,6.573,0.357,Low-Confidence (Filtered Out)
WT_Cand_1707,7.623,0.575,Low-Confidence (Filtered Out)
WT_Cand_1708,9.035,0.118,High-Confidence (Std <= 0.20)
WT_Cand_1709,6.697,0.082,High-Confidence (Std <= 0.20)
WT_Cand_1710,5.729,0.555,Low-Confidence (Filtered Out)
WT_Cand_1711,8.123,0.209,Low-Confidence (Filtered Out)
WT_Cand_1712,6.712,0.136,High-Confidence (Std <= 0.20)
WT_Cand_1713,4.351,0.409,Low-Confidence (Filtered Out)
WT_Cand_1714,7.825,0.017,High-Confidence (Std <= 0.20)
WT_Cand_1715,6.234,0.134,High-Confidence (Std <= 0.20)
WT_Cand_1716,6.746,0.133,High-Confidence (Std <= 0.20)
WT_Cand_1717,7.232,0.355,Low-Confidence (Filtered Out)
WT_Cand_1718,7.069,0.372,Low-Confidence (Filtered Out)
WT_Cand_1719,7.666,0.513,Low-Confidence (Filtered Out)
WT_Cand_1720,6.349,0.072,High-Confidence (Std <= 0.20)
WT_Cand_1721,7.44,0.251,Low-Confidence (Filtered Out)
WT_Cand_1722,6.552,0.025,High-Confidence (Std <= 0.20)
WT_Cand_1723,7.7,0.17,High-Confidence (Std <= 0.20)
WT_Cand_1724,7.558,0.075,High-Confidence (Std <= 0.20)
WT_Cand_1725,5.774,0.119,High-Confidence (Std <= 0.20)
WT_Cand_1726,8.099,0.466,Low-Confidence (Filtered Out)
WT_Cand_1727,6.234,0.07,High-Confidence (Std <= 0.20)
WT_Cand_1728,7.779,0.04,High-Confidence (Std <= 0.20)
WT_Cand_1729,7.272,0.281,Low-Confidence (Filtered Out)
WT_Cand_1730,8.964,0.007,High-Confidence (Std <= 0.20)
WT_Cand_1731,6.593,0.092,High-Confidence (Std <= 0.20)
WT_Cand_1732,6.448,0.009,High-Confidence (Std <= 0.20)
WT_Cand_1733,6.828,0.03,High-Confidence (Std <= 0.20)
WT_Cand_1734,6.501,0.009,High-Confidence (Std <= 0.20)
WT_Cand_1735,7.77,0.233,Low-Confidence (Filtered Out)
WT_Cand_1736,4.991,0.167,High-Confidence (Std <= 0.20)
WT_Cand_1737,5.638,0.024,High-Confidence (Std <= 0.20)
WT_Cand_1738,5.622,0.016,High-Confidence (Std <= 0.20)
WT_Cand_1739,7.943,0.089,High-Confidence (Std <= 0.20)
WT_Cand_1740,8.817,0.138,High-Confidence (Std <= 0.20)
WT_Cand_1741,6.73,0.627,Low-Confidence (Filtered Out)
WT_Cand_1742,6.656,0.007,High-Confidence (Std <= 0.20)
WT_Cand_1743,6.931,0.035,High-Confidence (Std <= 0.20)
WT_Cand_1744,8.186,0.338,Low-Confidence (Filtered Out)
WT_Cand_1745,5.784,0.315,Low-Confidence (Filtered Out)
WT_Cand_1746,7.124,0.241,Low-Confidence (Filtered Out)
WT_Cand_1747,7.971,0.236,Low-Confidence (Filtered Out)
WT_Cand_1748,7.426,0.183,High-Confidence (Std <= 0.20)
WT_Cand_1749,7.068,0.192,High-Confidence (Std <= 0.20)
WT_Cand_1750,8.001,0.154,High-Confidence (Std <= 0.20)
WT_Cand_1751,3.741,0.18,High-Confidence (Std <= 0.20)
WT_Cand_1752,7.63,0.146,High-Confidence (Std <= 0.20)
WT_Cand_1753,6.098,0.652,Low-Confidence (Filtered Out)
WT_Cand_1754,4.745,0.185,High-Confidence (Std <= 0.20)
WT_Cand_1755,7.438,0.046,High-Confidence (Std <= 0.20)
WT_Cand_1756,8.43,0.035,High-Confidence (Std <= 0.20)
WT_Cand_1757,6.692,0.172,High-Confidence (Std <= 0.20)
WT_Cand_1758,7.946,0.099,High-Confidence (Std <= 0.20)
WT_Cand_1759,8.704,0.206,Low-Confidence (Filtered Out)
WT_Cand_1760,8.362,0.062,High-Confidence (Std <= 0.20)
WT_Cand_1761,8.736,0.172,High-Confidence (Std <= 0.20)
WT_Cand_1762,7.703,0.145,High-Confidence (Std <= 0.20)
WT_Cand_1763,6.937,0.1,High-Confidence (Std <= 0.20)
WT_Cand_1764,5.008,0.052,High-Confidence (Std <= 0.20)
WT_Cand_1765,6.567,0.177,High-Confidence (Std <= 0.20)
WT_Cand_1766,5.88,0.16,High-Confidence (Std <= 0.20)
WT_Cand_1767,9.347,0.074,High-Confidence (Std <= 0.20)
WT_Cand_1768,6.648,0.198,High-Confidence (Std <= 0.20)
WT_Cand_1769,6.992,0.102,High-Confidence (Std <= 0.20)
WT_Cand_1770,7.484,0.137,High-Confidence (Std <= 0.20)
WT_Cand_1771,6.9,0.061,High-Confidence (Std <= 0.20)
WT_Cand_1772,8.799,0.234,Low-Confidence (Filtered Out)
WT_Cand_1773,6.134,0.384,Low-Confidence (Filtered Out)
WT_Cand_1774,7.074,0.135,High-Confidence (Std <= 0.20)
WT_Cand_1775,5.996,0.192,High-Confidence (Std <= 0.20)
WT_Cand_1776,5.332,0.012,High-Confidence (Std <= 0.20)
WT_Cand_1777,6.146,0.116,High-Confidence (Std <= 0.20)
WT_Cand_1778,6.807,0.233,Low-Confidence (Filtered Out)
WT_Cand_1779,6.356,0.238,Low-Confidence (Filtered Out)
WT_Cand_1780,6.054,0.122,High-Confidence (Std <= 0.20)
WT_Cand_1781,5.233,0.036,High-Confidence (Std <= 0.20)
WT_Cand_1782,6.754,0.282,Low-Confidence (Filtered Out)
WT_Cand_1783,5.12,0.303,Low-Confidence (Filtered Out)
WT_Cand_1784,7.724,0.219,Low-Confidence (Filtered Out)
WT_Cand_1785,6.945,0.145,High-Confidence (Std <= 0.20)
WT_Cand_1786,5.174,0.033,High-Confidence (Std <= 0.20)
WT_Cand_1787,6.494,0.428,Low-Confidence (Filtered Out)
WT_Cand_1788,5.985,0.193,High-Confidence (Std <= 0.20)
WT_Cand_1789,7.217,0.054,High-Confidence (Std <= 0.20)
WT_Cand_1790,8.392,0.019,High-Confidence (Std <= 0.20)
WT_Cand_1791,4.694,0.014,High-Confidence (Std <= 0.20)
WT_Cand_1792,6.982,0.172,High-Confidence (Std <= 0.20)
WT_Cand_1793,6.666,0.311,Low-Confidence (Filtered Out)
WT_Cand_1794,7.622,0.295,Low-Confidence (Filtered Out)
WT_Cand_1795,7.095,0.058,High-Confidence (Std <= 0.20)
WT_Cand_1796,5.985,0.399,Low-Confidence (Filtered Out)
WT_Cand_1797,6.483,0.435,Low-Confidence (Filtered Out)
WT_Cand_1798,5.935,0.286,Low-Confidence (Filtered Out)
WT_Cand_1799,8.087,0.018,High-Confidence (Std <= 0.20)
WT_Cand_1800,6.875,0.09,High-Confidence (Std <= 0.20)
WT_Cand_1801,9.036,0.126,High-Confidence (Std <= 0.20)
WT_Cand_1802,6.78,0.267,Low-Confidence (Filtered Out)
WT_Cand_1803,6.035,0.291,Low-Confidence (Filtered Out)
WT_Cand_1804,5.109,0.193,High-Confidence (Std <= 0.20)
WT_Cand_1805,4.776,0.143,High-Confidence (Std <= 0.20)
WT_Cand_1806,5.028,0.118,High-Confidence (Std <= 0.20)
WT_Cand_1807,7.157,0.165,High-Confidence (Std <= 0.20)
WT_Cand_1808,7.435,0.055,High-Confidence (Std <= 0.20)
WT_Cand_1809,5.032,0.297,Low-Confidence (Filtered Out)
WT_Cand_1810,7.879,0.043,High-Confidence (Std <= 0.20)
WT_Cand_1811,6.294,0.069,High-Confidence (Std <= 0.20)
WT_Cand_1812,7.019,0.012,High-Confidence (Std <= 0.20)
WT_Cand_1813,8.704,0.068,High-Confidence (Std <= 0.20)
WT_Cand_1814,7.881,0.162,High-Confidence (Std <= 0.20)
WT_Cand_1815,6.541,0.434,Low-Confidence (Filtered Out)
WT_Cand_1816,5.825,0.067,High-Confidence (Std <= 0.20)
WT_Cand_1817,4.375,0.112,High-Confidence (Std <= 0.20)
WT_Cand_1818,6.023,0.202,Low-Confidence (Filtered Out)
WT_Cand_1819,6.607,0.103,High-Confidence (Std <= 0.20)
WT_Cand_1820,5.715,0.316,Low-Confidence (Filtered Out)
WT_Cand_1821,6.699,0.011,High-Confidence (Std <= 0.20)
WT_Cand_1822,6.938,0.224,Low-Confidence (Filtered Out)
WT_Cand_1823,6.591,0.155,High-Confidence (Std <= 0.20)
WT_Cand_1824,6.102,0.059,High-Confidence (Std <= 0.20)
WT_Cand_1825,7.044,0.268,Low-Confidence (Filtered Out)
WT_Cand_1826,7.358,0.277,Low-Confidence (Filtered Out)
WT_Cand_1827,5.596,0.048,High-Confidence (Std <= 0.20)
WT_Cand_1828,8.473,0.191,High-Confidence (Std <= 0.20)
WT_Cand_1829,6.737,0.147,High-Confidence (Std <= 0.20)
WT_Cand_1830,6.872,0.013,High-Confidence (Std <= 0.20)
WT_Cand_1831,7.664,0.182,High-Confidence (Std <= 0.20)
WT_Cand_1832,7.118,0.471,Low-Confidence (Filtered Out)
WT_Cand_1833,7.946,0.179,High-Confidence (Std <= 0.20)
WT_Cand_1834,7.18,0.113,High-Confidence (Std <= 0.20)
WT_Cand_1835,6.146,0.311,Low-Confidence (Filtered Out)
WT_Cand_1836,7.266,0.234,Low-Confidence (Filtered Out)
WT_Cand_1837,5.535,0.048,High-Confidence (Std <= 0.20)
WT_Cand_1838,6.975,0.17,High-Confidence (Std <= 0.20)
WT_Cand_1839,6.812,0.097,High-Confidence (Std <= 0.20)
WT_Cand_1840,6.611,0.042,High-Confidence (Std <= 0.20)
WT_Cand_1841,6.702,0.355,Low-Confidence (Filtered Out)
WT_Cand_1842,4.686,0.193,High-Confidence (Std <= 0.20)
WT_Cand_1843,6.219,0.217,Low-Confidence (Filtered Out)
WT_Cand_1844,6.957,0.104,High-Confidence (Std <= 0.20)
WT_Cand_1845,7.034,0.116,High-Confidence (Std <= 0.20)
WT_Cand_1846,5.668,0.356,Low-Confidence (Filtered Out)
WT_Cand_1847,8.306,0.126,High-Confidence (Std <= 0.20)
WT_Cand_1848,5.854,0.119,High-Confidence (Std <= 0.20)
WT_Cand_1849,7.965,0.295,Low-Confidence (Filtered Out)
WT_Cand_1850,7.341,0.153,High-Confidence (Std <= 0.20)
WT_Cand_1851,6.107,0.234,Low-Confidence (Filtered Out)
WT_Cand_1852,8.892,0.3,Low-Confidence (Filtered Out)
WT_Cand_1853,5.477,0.138,High-Confidence (Std <= 0.20)
WT_Cand_1854,7.907,0.082,High-Confidence (Std <= 0.20)
WT_Cand_1855,8.001,0.012,High-Confidence (Std <= 0.20)
WT_Cand_1856,6.079,0.083,High-Confidence (Std <= 0.20)
WT_Cand_1857,8.451,0.042,High-Confidence (Std <= 0.20)
